HCH_016_007_000001	臨水祖道，軍陣固陵。
HCH_016_007_000002	大夫文種前為祝，其詞曰：“皇天祐助，前沉後揚。
HCH_016_007_000003	禍為德根，憂為福堂。
HCH_016_007_000004	威人者滅，服從者昌。
HCH_016_007_000005	王雖牽致，其後無殃。
HCH_016_007_000006	君臣生離，感動上皇。
HCH_016_007_000007	眾夫哀悲，莫不感傷。
HCH_016_007_000008	臣請薦脯，行酒二觴。
HCH_016_007_000009	”越王仰天太息，舉杯垂涕，默無所言。
HCH_016_007_000010	種復前祝曰：“大王德壽，無疆無極，乾坤受靈，神祇輔翼。
HCH_016_007_000011	我王厚之，祉祐在側。
HCH_016_007_000012	德銷百殃，利受其福。
HCH_016_007_000013	去彼吳庭，來歸越國。
HCH_016_007_000014	觴酒既升，請稱萬歲。
HCH_016_007_000015	”越王曰：“孤承前王餘德，守國於邊，幸蒙諸大夫之謀，遂保前王丘墓。
HCH_016_007_000016	今遭辱恥為天下笑，將孤之罪耶，諸大夫之責也？
HCH_016_007_000017	吾不知其咎，願二三子論其意。
HCH_016_007_000018	”大夫扶同曰：“何言之鄙也？
HCH_016_007_000019	昔湯繫於夏臺，伊尹不離其側；文王囚於石室，太公不棄其國。
HCH_016_007_000020	興衰在天，存亡繫於人。
HCH_016_007_000021	湯改儀而媚於桀，文王服從而幸於紂；夏殷恃力而虐二聖，兩君屈己以得天道。
HCH_016_007_000022	故湯王不以窮自傷，周文不以困為病。
HCH_016_007_000023	”越王曰：“昔堯任舜、禹而天下治，雖有洪水之害，不為人災。
HCH_016_007_000024	變異不及於民，豈況於人君乎？
HCH_016_007_000025	”大夫若成曰：“不如君王之言。
HCH_016_007_000026	天有曆數，德有薄厚。
HCH_016_007_000027	黃帝不讓，堯傳天子。
HCH_016_007_000028	三王臣弒其君，五霸子弒其父。
HCH_016_007_000029	德有廣狹，氣有髙下。
HCH_016_007_000030	今之世猶人之市，置貨以設詐。
HCH_016_007_000031	抱謀以待敵。
HCH_016_007_000032	不幸陷厄，求伸而已。
HCH_016_007_000033	大王不覽於斯而懷喜怒？
HCH_016_007_000034	”越王曰：“任人者不辱身，自用者危其國。
HCH_016_007_000035	大夫皆前圖未然之端，傾敵破讎，坐招泰山之福。
HCH_016_007_000036	今寡人守窮若斯，而雲湯文困厄後必霸，何言之違禮儀？
HCH_016_007_000037	夫君子爭寸陰而棄珠玉，今寡人冀得免於軍旅之憂，而復反係獲敵人之手，身為傭隸，妻為僕妾，往而不返，客死敵國。
HCH_016_007_000038	若魂魄有愧於前君，其無知，體骨棄捐。
HCH_016_007_000039	何大夫之言不合於寡人之意？
HCH_016_007_000040	”於是大夫種、范蠡曰：“聞古人曰：「居不幽，誌不廣；形不愁，思不遠。』聖王賢主皆遇困厄之難，蒙不赦之恥。身拘而名尊，軀辱而聲榮；處卑而不以為惡，居危而不以為薄。五帝德厚而窮厄之恨，然尚有泛濫之憂。三守暴困之辱，不離三獄之囚，泣涕而受冤，行哭而為隸，演易作卦，天道祐之。時過於期，否終則泰，諸侯並救，王命見符，朱鬣、玄狐。輔臣結髮拆獄破械，反國修德，遂討其讎。擢假海內，若覆手背，天下宗之，功垂萬世。大王屈厄，臣誠盡謀，夫截骨之劍，無削剟之利；舀鐵之矛，無分髮之便；建策之士，無暴興之說。今臣遂天文，案墜籍，二氣共萌，存亡異處，彼興則我辱，我霸則彼亡。二國爭道，未知所就。君王之危，天道之數，何必自傷哉！夫吉者，兇之門；福者，禍之根。今大王雖在危困之際，孰知其非暢達之兆哉？”大夫計研曰：“今君王國於會稽，窮於入吳，言悲辭苦，群臣泣之。雖則恨悷之心，莫不感動。而君王何為謾辭譁說，用而相欺？臣誠不取。”越王曰：“寡人將去入吳，以國累諸侯大夫，願各自述，吾將屬焉。”大夫臯如曰：“臣聞大夫種忠而善慮，民親其知，士樂為用。今委國一人，其道必守，何順心佛命群臣？”大夫曳庸曰：“大夫文種者，國之梁棟，君之爪牙。
HCH_016_007_000041	夫驥不可與匹馳，日月不可並照。
HCH_016_007_000042	君王委國於種，則萬綱千紀無不舉者。
HCH_016_007_000043	”越王曰：“夫國者，前王之國。
HCH_016_007_000044	孤力弱勢劣，不能遵守社稷，奉承宗廟。
HCH_016_007_000045	吾聞父死子代，君亡臣親。
HCH_016_007_000046	今事棄諸大夫，客官於吳，委國歸民以付二三子。
HCH_016_007_000047	吾之由也，亦子之憂也。
HCH_016_007_000048	君臣同道，父子共氣，天性自然。
HCH_016_007_000049	豈得以在者盡忠，亡者為不信乎？
HCH_016_007_000050	何諸大夫論事，一合一離，令孤懷心不定也？
HCH_016_007_000051	夫推國任賢，度功績成者，君之命也；奉教順理，不失分者，臣之職也。
HCH_016_007_000052	吾顧諸大夫以其所能而雲委質而已。
HCH_016_007_000053	於乎，悲哉！
HCH_016_007_000054	”計研曰：“君王所陳者，固其理也。
HCH_016_007_000055	昔湯入夏，付國於文祀，西伯之殷，委國於二老。
HCH_016_007_000056	今懷夏將滯，誌在於還。
HCH_016_007_000057	夫適市之妻，教嗣糞除，出亡之君，敕臣守禦。
HCH_016_007_000058	子問以事，臣謀以能。
HCH_016_007_000059	今君王欲士之所誌，各陳其情，舉其能者，議其宜也。
HCH_016_007_000060	”越王曰：“大夫之論是也。
HCH_016_007_000061	吾將逝矣，願諸君之風。
HCH_016_007_000062	”大夫種曰：“夫內修封疆之役，外修耕戰之備，荒無遺土，百姓親附：臣之事也。
HCH_016_007_000063	”大夫范蠡曰：“輔危主，存亡國，不恥屈厄之難，安守被辱之地，往而必反，與君復讎者：“臣之事也。
HCH_016_007_000064	”大夫苦成曰：“發君之令，明君之德，窮與俱厄，進與俱霸，統煩理亂，使民知分：臣之事也。
HCH_016_007_000065	”大夫曳庸曰：“奉令受使，結和諸侯，通命達旨，賂往遺來，解憂釋患，使無所疑，出不忘命，入不被尤：臣之事也。
HCH_016_007_000066	”大夫皓進曰：“一心齊誌，上與等之，下不違令，動從君命；修德履義，守信溫故；臨非決疑，君誤臣諫，直心不撓；舉過列平，不阿親戚，不私於外，推身致君，終始一分：臣之事也。
HCH_016_007_000067	”大夫諸稽郢曰：“望敵設陣，飛矢揚兵，履腹涉屍，血流滂滂，貪進不退；二師相當，破敵攻眾，威淩百邦：臣之事也。
HCH_016_007_000068	”大夫臯如曰：“修德行惠，撫慰百姓；身臨憂勞，動輒躬親；弔死存疾，救活民命；蓄陳儲新，食不二味；國富民實，為君養器：臣之事也。
HCH_016_007_000069	”大夫計研曰：“候天察地，紀歷陰陽，觀變參災，分別妖祥，日月含色，五精錯行，福見知吉，妖出知兇：臣之事也。
HCH_016_007_000070	”越王曰：“孤雖入於北國，為吳窮虜，有諸大夫懷德抱術，各守一分，以保社稷，孤何憂焉？
HCH_016_007_000071	”遂別於浙江之上。
HCH_016_007_000072	群臣垂泣，莫不鹹哀。
HCH_016_007_000073	越王仰天歎曰：“死者，人之所畏。
HCH_016_007_000074	若孤之聞死，其於心胸中曾無怵惕？
HCH_016_007_000075	”遂登船徑去，終不返顧。
HCH_016_007_000076	越王夫人乃據船哭，顧烏鵲啄江渚之蝦，飛去復來，因哭而歌之，曰：“仰飛鳥兮烏鳶，淩玄虛號翩翩。
HCH_016_007_000077	集洲渚兮優恣，啄蝦矯翮兮雲間，任厥兮往還。
HCH_016_007_000078	妾無罪兮負地，有何辜兮譴天？
HCH_016_007_000079	颿颿獨兮西往，孰知返兮何年？
HCH_016_007_000080	心惙惙兮若割，淚泫泫兮雙懸。
HCH_016_007_000081	”又哀今曰：“彼飛鳥兮鳶烏，已迴翔兮翕蘇。
HCH_016_007_000082	心在專兮素蝦，何居食兮江湖？
HCH_016_007_000083	徊復翔兮遊颺，去復返兮於乎！
HCH_016_007_000084	始事君兮去家，終我命兮君都。
HCH_016_007_000085	終來遇兮何幸，離我國兮去吳。
HCH_016_007_000086	妻衣褐兮為婢，夫去冕兮為奴。
HCH_016_007_000087	歲遙遙兮難極，冤悲痛兮心惻。
HCH_016_007_000088	腸千結兮服膺，於乎哀兮忘食。
HCH_016_007_000089	願我身兮如鳥，身翺翔兮矯翼。
HCH_016_007_000090	去我國兮心搖，情憤惋兮誰識？
HCH_016_007_000091	”越王聞夫人怨歌，心中內慟，乃曰：“孤何憂？
HCH_016_007_000092	吾之六翮備矣。
HCH_016_007_000093	”於是入吳，見夫差稽首再拜稱臣，曰東海賤臣勾踐，上愧皇天，下負後土，不裁功力，汙辱王之軍士，抵罪邊境。
HCH_016_007_000094	大王赦其深辜，裁加役臣，使執箕帚。
HCH_016_007_000095	誠蒙厚恩，得保須臾之命，不勝仰感俯愧。
HCH_016_007_000096	臣勾踐叩頭頓首。
HCH_016_007_000097	”吳王夫差曰：“寡人於子亦過矣。
HCH_016_007_000098	子不念先君之讎乎？
HCH_016_007_000099	”越王曰：“臣死則死矣，惟大王原之。
HCH_016_007_000100	”伍胥在旁，目若熛火，聲如雷霆，乃進曰：“夫飛鳥在青雲之上，尚欲繳微矢以射之，豈況近臥於華池，集於庭廡乎？
HCH_016_007_000101	今越王放於南山之中，遊於不可存之地，幸來涉我壤土，入吾梐梱，此乃廚宰之成事食也，豈可失之乎？
HCH_016_007_000102	”吳王曰：“吾聞誅降殺服，禍及三世。
HCH_016_007_000103	吾非愛越而不殺也，畏皇天之咎教而赦之。
HCH_016_007_000104	”太宰嚭諫曰：“子胥明於一時之計，不通安國之道。
HCH_016_007_000105	願大王遂其所執，無拘群小之口。
HCH_016_007_000106	”夫差遂不誅越王，令駕車養馬，祕於宮室之中。
HCH_016_007_000107	三月，吳王召越王入見，越王伏於前，范蠡立於後。
HCH_016_007_000108	吳王謂范蠡曰：“寡人聞貞婦不嫁破亡之家，仁賢不官絕滅之國。
HCH_016_007_000109	今越王無道，國已將亡，社稷壞崩，身死世絕，為天下笑。
HCH_016_007_000110	而子及主俱為奴僕，來歸於吳，豈不鄙乎？
HCH_016_007_000111	吾欲赦子之罪，子能改心自新，棄越歸吳乎？
HCH_016_007_000112	”范蠡對曰：“臣聞亡國之臣，不敢語政，敗軍之將，不敢語勇。
HCH_016_007_000113	臣在越不忠不信，今越王不奉大王命號，用兵與大王相持，至今獲罪，君臣俱降。
HCH_016_007_000114	蒙大王鴻恩，得君臣相保，願得入備掃除，出給趨走，臣之願也。
HCH_016_007_000115	”此時越王伏地流涕，自謂遂失范蠡矣。
HCH_016_007_000116	吳王知范蠡不可得為臣，謂曰：“子既不移其誌，吾復置子於石室之中。
HCH_016_007_000117	”范蠡曰：“臣請如命。
HCH_016_007_000118	”吳王起入宮中，越王、范蠡趨入石室。
HCH_016_007_000119	越王服犢鼻，著樵頭夫人衣無緣之裳，施左關之襦。
HCH_016_007_000120	夫斫剉養馬，妻給水、除糞、灑掃。
HCH_016_007_000121	三年不慍怒，面無恨色。
HCH_016_007_000122	吳王登遠臺望見越王及夫人、范蠡坐於馬糞之旁，君臣之禮存，夫婦之儀具。
HCH_016_007_000123	王顧謂太宰嚭曰：“彼越王者，一節之人；范蠡，一介之士，雖在窮厄之地，不失君臣之禮。
HCH_016_007_000124	寡人傷之。
HCH_016_007_000125	”太宰嚭曰：“願大王以聖人之心，哀窮孤之士。
HCH_016_007_000126	”吳王曰：“為子赦之。
HCH_016_007_000127	”後三月，乃擇吉日而欲赦之，召太宰嚭謀曰：“越之與吳，同土連域。
HCH_016_007_000128	勾踐愚黠，親欲為賊。
HCH_016_007_000129	寡人承天之神靈，前王之遺德，誅討越寇，囚之石室。
HCH_016_007_000130	寡人心不忍見而欲赦之，於子柰何？
HCH_016_007_000131	”太宰嚭曰：“臣聞無德不復。
HCH_016_007_000132	大王垂仁恩加越，越豈敢不報哉？
HCH_016_007_000133	願大王卒意。
HCH_016_007_000134	”越王聞之，召范蠡告之曰：“孤聞於外，心獨喜之，又恐其不卒也。
HCH_016_007_000135	”范蠡曰：“大王安心，事將有意，在玉門第一。
HCH_016_007_000136	今年十二月，戊寅之日，時加日出。
HCH_016_007_000137	戊，囚日也；寅，陰後之辰也。
HCH_016_007_000138	合庚辰歲後會也。
HCH_016_007_000139	夫以戊寅日聞喜，不以其罪罰日也。
HCH_016_007_000140	時加卯而賊戊，功曹為騰蛇而臨戊，謀利事在青龍，青龍在勝先，而臨酉，死氣也；而剋寅，是時剋其日，用又助之。
HCH_016_007_000141	所求之事，上下有憂。
HCH_016_007_000142	此豈非天網四張，萬物盡傷者乎？
HCH_016_007_000143	王何喜焉？
HCH_016_007_000144	”果子胥諫吳王曰：“昔桀囚湯而不誅，紂囚文王而不殺，天道還反，禍轉成福。
HCH_016_007_000145	故夏為湯所誅，殷為周所滅。
HCH_016_007_000146	今大王既囚越君而不行誅，臣謂大王惑之深也。
HCH_016_007_000147	得無夏殷之患乎？
HCH_016_007_000148	”吳王遂召越王，久之不見。
HCH_016_007_000149	范蠡、文種憂而占之，曰：“吳王見擒也。
HCH_016_007_000150	”有頃太宰嚭出見大夫種、范蠡而言越王復拘於石室。
HCH_016_007_000151	伍子胥復諫吳王曰：“臣聞，王者攻敵國克之則加以誅，故後無報復之憂，遂免子孫之患。
HCH_016_007_000152	今越王已入石室，宜早圖之，後必為吳之患。
HCH_016_007_000153	”太宰嚭曰：“昔者齊桓割燕所至之地以貺燕公，而齊君獲其美名；宋襄濟河而戰，春秋以多其義：功立而名稱，軍敗而德存。
HCH_016_007_000154	今大王誠赦越王，則功冠於五霸，名越於前古。
HCH_016_007_000155	”吳王曰：“待吾疾愈，方為大宰赦之。
HCH_016_007_000156	”後一月，越王出石室，召范蠡曰：“吳王疾，三月不愈。
HCH_016_007_000157	吾聞人臣之道，主疾臣憂，且吳王遇孤恩甚厚矣。
HCH_016_007_000158	疾之無瘳，惟公卜焉。
HCH_016_007_000159	”范蠡曰：“吳王不死明矣，到己巳日當瘳，惟大王留意。
HCH_016_007_000160	”越王曰：“孤所以窮而不死者，賴公之策耳，中復猶豫，豈孤之誌哉？
HCH_016_007_000161	可與不可，惟公圖之。
HCH_016_007_000162	”范蠡曰：“臣竊見吳王，真非人也。
HCH_016_007_000163	數言成湯之義，而不行之。
HCH_016_007_000164	願大王請求問疾，得見，因求其糞而嘗之，觀其顏色，當拜賀焉，言其不死，以廖起日期之既言信後，則大王何憂？
HCH_016_007_000165	”越王明日謂太宰嚭曰：“囚臣欲一見問疾。
HCH_016_007_000166	”太宰嚭即入言於吳王，王召而見之。
HCH_016_007_000167	適遇吳王之便，太宰嚭奉溲惡以出，逢戶中。
HCH_016_007_000168	越王因拜：“請嘗大王之溲，以決吉兇。
HCH_016_007_000169	”即以手取其便與惡而嘗之。
HCH_016_007_000170	因入曰：“下囚臣勾踐賀於大王，王之疾至己巳日有瘳，至三月壬申病愈。
HCH_016_007_000171	”吳王曰：“何以知之？
HCH_016_007_000172	”越王曰：“下臣嘗事師，聞糞者順榖味，逆時氣者死，順時氣者生。
HCH_016_007_000173	今者臣竊嘗大王之糞，其惡味苦且楚酸。
HCH_016_007_000174	是味也，應春夏之氣。
HCH_016_007_000175	臣以是知之。
HCH_016_007_000176	”吳王大悅，曰：“仁人也。
HCH_016_007_000177	”乃赦越王得離其石室，去就其宮室，執牧養之事如故。
HCH_016_007_000178	越王從嘗糞惡之後，遂病口臭。
HCH_016_007_000179	范蠡乃令左右皆食岑草，以亂其氣。
HCH_016_007_000180	其後，吳王如越王期日疾愈，心念其忠，臨政之後，大縱酒於文臺。
HCH_016_007_000181	吳王出令曰：“今日為越王陳北面之坐，群臣以客禮事之。
HCH_016_007_000182	”伍子胥趨出到舍上，不禦坐。
HCH_016_007_000183	酒酣，太宰嚭曰：“異乎！
HCH_016_007_000184	今日坐者各有其詞，不仁者逃，其仁者留。
HCH_016_007_000185	臣聞同聲相和，同心相求。
HCH_016_007_000186	今國相剛勇之人，意者內慚？
HCH_016_007_000187	至仁之存也，而不禦坐，其亦是乎？
HCH_016_007_000188	”吳王曰：“然。
HCH_016_007_000189	”於是范蠡與越王俱起為吳王壽，其辭曰：“下臣勾踐從小臣范蠡，奉觴上千歲之壽，辭曰：皇在上令，昭下四時，並心察慈，仁者大王。
HCH_016_007_000190	躬親鴻恩，立義行仁。
HCH_016_007_000191	九德四塞，威服群臣。
HCH_016_007_000192	於乎休哉，傳德無極上感太陽，降瑞翼翼。
HCH_016_007_000193	大王延壽萬歲，長保吳國。
HCH_016_007_000194	四海鹹承，諸侯賓服。
HCH_016_007_000195	觴酒既升，永受萬福！
HCH_016_007_000196	”於是吳王大悅。
HCH_016_007_000197	明日，伍子胥入諫曰：“昨日大王何見乎？
HCH_016_007_000198	臣聞內懷虎狼之心，外執美詞之說，但為外情以存其身。
HCH_016_007_000199	豺不可謂廉，狼不可親。
HCH_016_007_000200	今大王好聽須臾之說，不慮萬歲之患，放棄忠直之言，聽用讒夫之語；不滅瀝血之仇，不絕懷毒之怨。
HCH_016_007_000201	猶縱毛爐炭之上幸其焦，投卵千鈞之下望必全，豈不殆哉？
HCH_016_007_000202	臣聞察登髙自知危，然不知所以自安也；前據白刃自知死，而不知所以自存也。
HCH_016_007_000203	惑者知返，迷道不遠。
HCH_016_007_000204	願大王察之。
HCH_016_007_000205	”吳王曰：“寡人有疾三月，曾不聞相國一言，是相國之不慈也；又不進口之所嗜，心不相思，是相國之不仁也。
HCH_016_007_000206	夫為人臣不仁不慈，焉能知其忠信者乎？
HCH_016_007_000207	越王迷惑？
HCH_016_007_000208	棄守邊之事，親將其臣民來歸寡人，是其義也；躬親為虜，妻親為妾，不慍寡人，寡人有疾，親嘗寡人之溲，是其慈也；虛其府庫，盡其寶幣，不念舊故，是其忠信也。
HCH_016_007_000209	三者既立，以養寡人，寡人曾聽相國而誅之，是寡人之不智也，而為相國快私意耶，豈不負皇天乎？
HCH_016_007_000210	”子胥曰：“何大王之言反也？
HCH_016_007_000211	夫虎之卑勢，將以有擊也；貍之卑身，將求所取也。
HCH_016_007_000212	雉以眩移拘於網，魚以有悅死於餌。
HCH_016_007_000213	且大王初臨政，負玉門之第九，誡事之敗，無咎矣。
HCH_016_007_000214	今年三月甲戌，時加雞鳴。
HCH_016_007_000215	甲戌，歲位之會將也。
HCH_016_007_000216	青龍在酉，德在上，刑在金，是日賊其德也。
HCH_016_007_000217	知父將有不順之子，君有逆節之臣。
HCH_016_007_000218	大王以越王歸吳為義，以飲溲食惡為慈，以虛府庫為仁，是故為無愛於人，其不可親。
HCH_016_007_000219	面聽貌觀以存其身。
HCH_016_007_000220	今越王入臣於吳，是其謀深也；虛其府庫，不見恨色，是欺我王也；下飲王之溲者，是上食王之心也；下嘗王之惡者，是上食王之肝也。
HCH_016_007_000221	大哉，越王之崇吳，吳將為所擒也。
HCH_016_007_000222	惟大王留意察之，臣不敢逃死以負前王。
HCH_016_007_000223	一旦社稷丘墟，宗廟荊棘，其悔可追乎？
HCH_016_007_000224	”吳王曰：“相國置之，勿復言矣。
HCH_016_007_000225	寡人不忍復聞。
HCH_016_007_000226	”於是遂赦越王歸國，送於蛇門之外，群臣祖道。
HCH_016_007_000227	吳王曰：“寡人赦君使其返國，必念終始。
HCH_016_007_000228	王其勉之。
HCH_016_007_000229	”越王稽首曰：“今大王哀臣孤窮，使得生全還國，與種蠡之徒願死於轂下。
HCH_016_007_000230	上天蒼蒼，臣不敢負。
HCH_016_007_000231	”吳王曰：“於乎！
HCH_016_007_000232	吾聞君子一言不再。
HCH_016_007_000233	今已行矣，王勉之。
HCH_016_007_000234	”越王再拜跪伏，吳王乃引越王登車，范蠡執禦，遂去。
HCH_016_007_000235	至三津之上，仰天歎曰：“嗟乎！
HCH_016_007_000236	孤之屯厄，誰念復生渡此津也？
HCH_016_007_000237	”謂范蠡曰：“今三月甲辰，時加日昳，孤蒙上天之命，還歸故鄉，得無後患乎？
HCH_016_007_000238	”范蠡曰：“大王勿疑，直視道行。
HCH_016_007_000239	越將有福，吳當有憂。
HCH_016_007_000240	”至浙江之上，望見大越山川重秀，天地再清。
HCH_016_007_000241	王與夫人歎曰：“吾已絕望，永辭萬民，豈料再還，重復鄉國？
HCH_016_007_000242	”言竟掩面，涕泣闌幹。
HCH_016_007_000243	此時萬姓鹹歡，群臣畢賀。
